id,question,opa,opb,opc,opd,cop,subject
1690,Which statement best describes the differences between the characteristics of type 1 and type 2 diabetes:,persons with type 2 diabetes usually require lower doses of insulin than person with type 1 diabetes because they have a milder form of diabetes,persons with type 1 diabetes rapidly develop chronic complications,autoimmune factors are involved in the pathogenesis of type 1 but not type 2 diabetes,persons with type 1 diabetes can increase endogenous insulin production by taking oral hypoglycemic agents,C,nutrition
1691,Which of the following nutritional interventions has been shown to improve child development?,Protein-energy supplementation during pregnancy,Protein-energy supplementation during the first two years,Both of the interventions,None of the interventions,C,nutrition
1692,"Food supplements, including trace minerals and vitamins are frequently advertised with promising health benefits. Which of the following substance could be consumed in excess, i.e. well above the recommended daily requirement?",Vitamin C,Vitamin D,Zinc,Vitamin A,A,nutrition
1693,The thermic effect of food,is substantially higher for carbohydrate than for protein,is accompanied by a slight decrease in body core temperature.,is partly related to sympathetic activity stimulation in the postprandial phase,is not attenuated by food malabsorption.,C,nutrition
1694,What is the primary method of dietary assessment used in epidemiological studies?,Weighed diary,Unweighed diary,24-hour recall,Food frequency questionnaire,D,nutrition
1695,Calculate the body mass index (BMI) for a patient whose height is 1.75 m and whose weight is 99 kg.,29,32,39,43,B,nutrition
1696,Diagnosis of iron deficiency can be complicated by concurrent infection since many markers of iron status are altered by infection. Which of the following combinations of iron status markers is likely to be found in a person with both iron deficiency and a severe infection?,"Low haemoglobin, high ferritin, high serum transferrin receptors, high hepcidin","Low haemoglobin, low ferritin, high serum transferrin receptors, low hepcidin","Low haemoglobin, low ferritin, normal serum transferrin receptors, high hepcidin","Low haemoglobin, low ferritin, low serum transferrin receptors, high hepcidin",A,nutrition
1697,How much dietary protein should athletes consume daily?,<0.8 g protein per kg bodyweight per day,0.8-1.2 g protein per kg bodyweight per day,1.2-1.7 g protein per kg bodyweight per day,>2.0 g protein per kg bodyweight per day,C,nutrition
1698,Which vitamins are important in lowering circulating homocysteine levels,Vitamin D,Vitamin C,Vitamin A,"Folate, vitamins B6 and B12",D,nutrition
1699,The function of the gastrointestinal tract can be classified in several ways. Which of the following functions is most important for survival immediately after a meal?,Absorption and retention of water and electrolytes,Elimination of toxins,Maintenance of barrier function,Extraction of maximum value from nutrients,A,nutrition
1700,"Which single statement below, about the stomach, is actually correct?","Acid secretion occurs in response to secretion of the hormone, carbonic anhydrase",Glands called Peyer's patches are responsible for acid secretion,The vagus nerve inhibits acid secretion after a meal has been consumed,Pepsinogen and gastric lipase are two enzymes secreted into the lumen of the stomach,D,nutrition
1701,The best evidence exists for which nutrients in the prevention of age related cognitive decline?,N-3 fatty acids,Phytochemical,N-6 fatty acids,Long chain saturated fats,A,nutrition
1702,Which diseases are not less frequent among vegetarians?,Respiratory diseases,Colorectal cancer,Ischaemic heart disease,Diverticular disease,A,nutrition
1703,For Binge Eating Disorder it is incorrect that:,"Binge Eating episodes in BED are usually richer in calories than those of BN, leading patients to obesity",BED patients have higher odds of developing obesity,Bariatric surgery can be considered a treatment option for mild cases,Spontaneous remission is a possible outcome,A,nutrition
1704,"Although theoretically any food protein could act as a food allergen, there are eight major food allergens in Europe and North America which account for most of the allergic triggers observed in childhood. Which of the allergens pairings contains an allergen, which is not part of the group of eight major allergens?","Cow's milk, egg","Mustard seeds, lamb,","Soy, peanuts","Fish, shellfish",B,nutrition
1705,Prenatal programming:,Explains the rise in obesity in the pre-school years,May be effected through the epigenetic effects of intrauterine nutritional inadequacy,Causes high blood pressure in young children,Only affects low birth weight children,B,nutrition
1706,The best available evidence for an association between amount of sugars and risk of dental caries comes from which type of study design?,Randomised controlled,Non-randomised controlled,Cross sectional observational,Cohort,D,nutrition
1707,Which of the following statements about nutritional status and health outcomes is correct?,Hypertension in older people is unlikely to be associated with high salt intake.,There is strong evidence that supplements of vitamin B12 will improve cognitive function in older people.,Older people are no more likely to have low haemoglobin concentration than younger people.,Folate deficiency in older people is less prevalent in countries with mandatory fortification of flour with folic acid.,D,nutrition
1708,Which of the following statements about the consequence of an adaptive metabolic demand for the determination of the minimum protein requirement is correct.,Adaptation is fully accounted for in the design of nitrogen balance studies.,The adaptive metabolic demand means that the slope of N-balance studies underestimates the efficiency of protein utilization,Variable adaptation between different N-balance studies is fully accounted for in the calculation of the safe individual protein requirement as EAR+2SD,Adaptation should not influence the interpretation of N-balance studies.,B,nutrition
1709,De novo fatty acid synthesis usually signifies which of the following?,An excess of fat intake,A depletion of energy yielding substrates,Only occurs with prolonged fasting,An excess of energy yielding substrates,D,nutrition
1710,Which of the following lipoproteins is produced via the exogenous lipoprotein pathway?,High density lipoproteins,Very low density lipoproteins,Chylomicrons,Low density lipoproteins,C,nutrition
1711,The following types of research findings provide strong evidence for an association between diet and skeletal health:,Long-term intervention studies that have a large sample size with fracture as an endpoint,Experimental studies which measure bone remodelling through biochemical markers,Experimental studies which have a one-off measure of bone mineral density and bone mineral content,Case reports from individual patients,A,nutrition
